TranscriptId	GeneSym
rna-XM_038210710.1	LOC119736695
rna-XM_038206829.1	LOC119733246
rna-XM_038188839.1	LOC119719396
rna-XM_038198079.1	LOC119726425
rna-XM_038198699.1	LOC119726844
rna-XM_038205325.1	LOC119731984
rna-XR_005270536.1	LOC119723339
rna-XM_038221131.1	LOC119744926
rna-XM_038189026.1	LOC119719555
rna-XM_038216451.1	LOC119740944
rna-XM_038218439.1	LOC119742498
rna-XM_038203140.1	LOC119730311
rna-XM_038223507.1	LOC119746526
rna-XM_038216435.1	LOC119740938
rna-XM_038222594.1	LOC119745916
rna-XM_038197362.1	LOC119725789
rna-XM_038218620.1	LOC119742554
rna-XM_038205757.1	LOC119732297
rna-XM_038215479.1	LOC119740237
rna-XM_038222300.1	LOC119745743
rna-XM_038210718.1	LOC119736705
rna-XM_038202009.1	LOC119729385
rna-Trnam-cau-24	Trnam-cau
rna-XM_038218406.1	LOC119742470
rna-XM_038222158.1	LOC119745647
rna-XM_038216296.1	LOC119740845
rna-XM_038203532.1	LOC119730557
rna-XM_038190942.1	LOC119721062
rna-XR_005272698.1	LOC119740746
rna-XM_038221390.1	LOC119745165
rna-XM_038219530.1	LOC119743157
rna-XM_038195293.1	LOC119724304
rna-XM_038206349.1	LOC119732701
rna-XR_005272828.1	LOC119742172
rna-XM_038203470.1	LOC119730506
rna-XM_038216812.1	LOC119741123
rna-XM_038197313.1	LOC119725748
rna-XM_038204588.1	LOC119731419
rna-XM_038198014.1	LOC119726358
rna-XR_005273579.1	LOC119744612
rna-XR_005270397.1	LOC119722059
rna-XM_038209656.1	LOC119735738
rna-XM_038192911.1	LOC119722669
rna-XM_038221000.1	LOC119744836
rna-XM_038191563.1	LOC119721483
rna-XM_038206326.1	LOC119732689
rna-XM_038199496.1	LOC119727567
rna-XM_038206718.1	LOC119733146
rna-XM_038201895.1	LOC119729283
rna-XM_038192421.1	LOC119722351
rna-XM_038199045.1	LOC119727181
rna-XM_038196617.1	LOC119725269
rna-XM_038196656.1	LOC119725285
rna-XM_038205942.1	LOC119732427
rna-XM_038194399.1	LOC119723640
rna-XM_038188816.1	LOC119719386
rna-XM_038216226.1	LOC119740772
rna-XR_005270235.1	LOC119721643
rna-XR_005271118.1	LOC119728684
gene-LOC119739527	LOC119739527
rna-XM_038204356.1	LOC119731256
rna-XM_038211711.1	LOC119737386
rna-XM_038196843.1	LOC119725437
rna-XM_038202583.1	LOC119729801
rna-XM_038203811.1	LOC119730784
rna-XM_038209143.1	LOC119735445
rna-XM_038210957.1	LOC119736919
rna-XM_038208158.1	LOC119734623
rna-XM_038201607.1	LOC119729095
rna-XM_038203044.1	LOC119730237
rna-XM_038222168.1	LOC119745651
rna-XM_038222697.1	LOC119745970
rna-XM_038215208.1	LOC119740017
rna-XM_038197345.1	LOC119725777
rna-XM_038198229.1	LOC119726507
rna-XR_005272191.1	LOC119735564
rna-XM_038206003.1	LOC119732476
rna-XM_038194793.1	LOC119723891
rna-XM_038188930.1	LOC119719459
rna-XM_038218582.1	LOC119742551
rna-XM_038208050.1	LOC119734518
rna-XR_005272474.1	LOC119738545
rna-XM_038211866.1	LOC119737472
rna-XM_038195388.1	LOC119724368
rna-XM_038216078.1	LOC119740700
rna-XM_038202351.1	LOC119729680
rna-XM_038189039.1	LOC119719563
rna-XM_038211250.1	LOC119737133
rna-XM_038215853.1	LOC119740514
rna-XM_038214353.1	LOC119739408
rna-XM_038223205.1	LOC119746307
rna-XM_038198826.1	LOC119726974
rna-XM_038193044.1	LOC119722745
rna-XM_038200542.1	LOC119728339
rna-XR_005272999.1	LOC119742995
rna-XM_038215813.1	LOC119740487
rna-XM_038220682.1	LOC119744636
rna-XM_038222292.1	LOC119745738
rna-XM_038199532.1	LOC119727590
rna-XM_038198839.1	LOC119726984
rna-XM_038222226.1	LOC119745688
rna-XM_038208634.1	LOC119734972
rna-XM_038209276.1	LOC119735541
rna-XM_038212847.1	LOC119738107
rna-XR_005270608.1	LOC119724115
rna-XM_038199765.1	LOC119727732
rna-XR_005271289.1	LOC119729832
rna-XM_038197865.1	LOC119726243
rna-XM_038196055.1	LOC119724819
rna-XM_038195481.1	LOC119724420
rna-XR_005272950.1	LOC119743046
rna-XM_038221755.1	LOC119745423
rna-XM_038206943.1	LOC119733356
rna-XM_038207875.1	LOC119734382
rna-XM_038198259.1	LOC119726529
rna-XM_038198188.1	LOC119726480
rna-XM_038212410.1	LOC119737796
rna-XM_038221279.1	LOC119745056
rna-XM_038205284.1	LOC119731959
rna-XM_038198433.1	LOC119726661
rna-XM_038188444.1	LOC119719124
rna-XM_038209293.1	LOC119735556
rna-XM_038200286.1	LOC119728181
rna-XM_038204020.1	LOC119730952
rna-XM_038189069.1	LOC119719582
rna-XM_038190697.1	LOC119720839
rna-XM_038199391.1	LOC119727502
