TranscriptId	GeneSym
rna-XM_030980173.1	eh2
rna-XM_030988089.1	LOC115924991
rna-XM_030984290.1	LOC115923497
rna-XM_003731121.3	LOC100889667
rna-XM_030982370.1	LOC579421
rna-XR_004065703.1	LOC115927526
rna-XR_004066193.1	LOC115918993
rna-XM_030980605.1	LOC115922212
rna-XM_030976226.1	LOC578978
rna-XM_030989244.1	LOC585994
rna-XM_030991288.1	LOC594562
rna-XM_030986490.1	LOC591845
rna-XM_030991652.1	LOC590198
rna-XM_030999569.1	LOC580203
rna-XM_030975782.1	LOC105442476
rna-XM_030990557.1	LOC373223
rna-XR_004062733.1	LOC115921083
rna-XR_004062442.1	LOC115920636
rna-XM_030973532.1	LOC576797
rna-XM_030972769.1	LOC591084
rna-XM_003726705.3	LOC762933
rna-XM_003723999.3	LOC100893051
rna-XM_030995243.1	LOC115918940
rna-XM_003727945.3	LOC590309
rna-XM_030988818.1	LOC100890024
rna-XM_030980822.1	LOC583012
rna-XR_004064132.1	LOC115924019
rna-XR_004062071.1	LOC115919940
rna-XM_030987638.1	LOC105446583
rna-XM_030980166.1	LOC373484
rna-XM_030984097.1	LOC105439020
rna-XM_003727615.3	LOC100888478
rna-XR_004063599.1	LOC115922758
rna-XM_003724437.3	LOC100890292
rna-XM_030998683.1	LOC575007
rna-XM_001180237.4	LOC752819
rna-XM_030983651.1	LOC764658
rna-XM_030994234.1	LOC105437822
rna-XM_030978844.1	LOC105443459
rna-XM_030978602.1	LOC115921276
rna-XM_784234.5	LOC584374
rna-XM_011663562.2	LOC575267
rna-XM_031000087.1	LOC115918174
rna-XM_030982734.1	LOC115922945
rna-XM_011662412.2	LOC576643
rna-XM_030976999.1	LOC105437815
rna-XM_030973334.1	LOC115919458
rna-XM_030994948.1	LOC577740
rna-XM_001199961.4	LOC763851
rna-XM_011673363.1	LOC105441841
rna-XM_030979934.1	LOC100893236
rna-XM_030996267.1	LOC583271
rna-NM_214646.1	P16
rna-XM_030982361.1	LOC580843
rna-XM_030973755.1	LOC582863
rna-XR_004064411.1	LOC100891126
rna-XM_003723405.3	LOC100890399
rna-XM_790245.5	LOC590648
rna-XR_004065694.1	LOC115927513
rna-XM_030988287.1	LOC115925096
rna-XM_030971943.1	LOC115919126
rna-XM_011666948.2	LOC584098
rna-XM_030980365.1	LOC576034
rna-XM_030973024.1	LOC105437929
rna-XR_971503.2	LOC105440056
rna-XM_794861.5	LOC577341
rna-XM_003726995.3	LOC100894034
rna-XM_011679477.2	LOC105444782
rna-XM_030976855.1	LOC100893682
rna-XM_011685450.2	LOC585715
rna-XM_001200632.4	LOC764357
rna-XM_030989454.1	LOC115925493
rna-XM_030977495.1	LOC578867
rna-XM_030978746.1	LOC115921345
rna-XM_030993580.1	LOC764193
rna-XM_030974182.1	LOC584771
rna-XM_030972678.1	LOC580916
rna-XM_030985946.1	LOC115924132
rna-XM_779782.5	LOC579680
rna-XR_004062917.1	LOC105444025
rna-XR_004066305.1	LOC115929033
rna-XM_030988751.1	LOC583500
rna-XM_030996583.1	LOC115928736
rna-XR_004063789.1	LOC764034
rna-XM_003729200.3	LOC100889077
rna-XM_787256.5	LOC587532
rna-XM_011675661.2	LOC105442958
rna-XM_030993180.1	LOC115918881
rna-XM_030973258.1	LOC115919439
rna-XM_030996873.1	LOC588789
rna-XM_030972536.1	LOC577206
rna-XM_011681542.2	LOC592290
rna-XM_030989260.1	LOC100891746
rna-XM_030994770.1	LOC577455
rna-XR_004064961.1	LOC762774
rna-XM_030991583.1	LOC115926640
rna-XM_030995816.1	LOC115928527
